frase,palabra,significado_correcto,traduccion_es,Significados_es
湯姆不是英國人。,是,,Tom no es inglés.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
你最好马上走。,最,,Será mejor que te vayas.,mayoría; el más; -est (sufijo superlativo)
他聽到有人叫他的名字的時候，正在昏昏欲睡。,有,,"Cuando oyó a alguien decir su nombre, estaba angustiado.",tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
这星期有没有好戏看？,看,,¿Te lo estás pasando bien esta semana?,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
你想拿什么就拿什么。,拿,,Toma lo que quieras.,para sostener; apoderarse; atrapar; aprehender; tomar; (utilizado de la misma manera que 把 [BA3]: para marcar el siguiente sustantivo como objeto directo)
自行车有两个轮胎。,有,,La moto tiene dos neumáticos.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
汤姆把钥匙拿出了口袋。,拿,,Tom sacó la llave de su bolsillo.,para sostener; apoderarse; atrapar; aprehender; tomar; (utilizado de la misma manera que 把 [BA3]: para marcar el siguiente sustantivo como objeto directo)
我才不管别人怎么想我。,管,,No me importa lo que la gente piense de mí.,cuidar (de); para controlar; para administrar; estar a cargo de; cuidar; correr; cuidar; tubo; tubo; viento de madera; clasificador para objetos en forma de tubo; partícula similar a 把 [BA3] en 管 ... 叫 Construcciones; cepillo de escritura; (coll.) a; hacia
我方已正式向貴公司陳報合作計劃的最新變更。,向,,Hemos informado oficialmente a su empresa de los últimos cambios en nuestro plan de cooperación.,hacia; enfrentar; girar hacia; dirección; para apoyar; al lado de; poco antes; antes; siempre; todo el tiempo; (sufijo) adecuado para ...; Orientado a ...
如果湯姆不投降，就開槍,如果,,"Si Tom no se rinde, dispárale.",si; En caso; en caso de que
據我所知，這本書從來沒有被翻譯成日文。,有,,"Por lo que sé, este libro nunca ha sido traducido al japonés.",tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
这非常困难。,常,,Es muy difícil.,siempre; alguna vez; a menudo; frecuentemente; común; general; constante
雨下了三天。,了,,Llovió durante tres días.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
有人说，他爸爸死在了国外。,有,,Algunos dicen que su padre murió en el extranjero.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
我们很高兴今晚能见到大家。,家,,Nos alegra verlos a todos esta noche.,"hogar; familia; (educado) mi (hermana, tío, etc.); clasificador para familias o empresas; se refiere a las escuelas filosóficas de Pre-Han China; sufijo sustantivo para un especialista en alguna actividad, como un músico o revolucionario, correspondiente al inglés -ist, -er, -ary o -ian; CL: 個 | 个 [GE4]"
神所愛的人都很早就過世了。,神,,Los seres queridos de Dios murieron hace mucho tiempo.,dios; deidad; sobrenatural; mágico; misterioso; espíritu; mente; energía; dinámico; expresivo; mirar; expresión; (coll.) Impresionante; asombroso
我起来的时候天还是黑的呢。,是,,Me desperté en la oscuridad.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
我怎樣才能連絡到你?,到,,¿Cómo puedo contactarte?,alcanzar; llegar; para irse por; para ir; a (un lugar); hasta (una hora); hasta cierto punto); (complemento verbal que indica llegar a un lugar o alcanzar un punto); considerado; considerado; exhaustivo
語言一定要自學才會學得好。,一,,El idioma tiene que ser autoeducado para aprender bien.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
在线用户数好多啊！,多,,¡Hay muchos usuarios en línea!,muchos; mucho; más; mucho; demasiado; en exceso; (después de un número) ... impar; cómo (en qué medida) (Taiwán pr. [duo2]); (forma unida) múltiple; escuela politécnica-
不只是你，就連我也該受責難。,是,,"No eres solo tú, ni siquiera es mi culpa.",ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
不必害怕錯誤。,不,,No tengas miedo de los errores.,No; no así; (forma unida) no; Naciones Unidas-
您做啦！,做,,¡Lo lograste!,"hacer; para producir; escribir; para componer; hacer; participar; para sostener (una fiesta, etc.); (de una persona) ser (un intermediario, un buen estudiante, etc.); convertirse (esposo y esposa, amigos, etc.); (de una cosa) para servir como; para ser utilizado para; asumir (un aire o manera)"
汤姆被敲竹杠了。,了,,Tom ha sido golpeado.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
喝茶时不要加糖。,要,,No hay azúcar en el té.,querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante
这个可怜的年轻人最后成为了一个了不起的艺术家。,一,,Este pobre joven finalmente se convirtió en un artista increíble.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
"爸爸給了我一本書, 弟弟給了我一枝筆。",一,,"Papá me dio un libro, mi hermano me dio un bolígrafo.","uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
我說不明白它們兩個有什麼曲別。,有,,No entiendo la diferencia entre ellos.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
他已經做完功課了。,了,,Ha terminado su tarea.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
去年圣诞节做了什么了？,年,,¿Qué hiciste la Navidad pasada?,año; CL: 個 | 个 [GE4]
你的年龄是多少？,年,,¿Cuál es tu edad?,año; CL: 個 | 个 [GE4]
我上星期把錢付了給他。,期,,Le pagué la semana pasada.,"un período de tiempo; fase; escenario; clasificador para problemas de un periódico, cursos de estudio; tiempo; término; período; a la esperanza; Taiwán Pr. [Qi2]"
我不想去澳洲了。,了,,Ya no quiero ir a Australia.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
日本人有黑色的眼睛。,有,,Los japoneses tienen los ojos negros.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
她最晚9点必须回家。,家,,Tiene que irse a casa a las 9 p.m. a más tardar.,"hogar; familia; (educado) mi (hermana, tío, etc.); clasificador para familias o empresas; se refiere a las escuelas filosóficas de Pre-Han China; sufijo sustantivo para un especialista en alguna actividad, como un músico o revolucionario, correspondiente al inglés -ist, -er, -ary o -ian; CL: 個 | 个 [GE4]"
湯姆和瑪麗過來是為了來看你的。,看,,Tom y Mary vinieron a verte.,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
我想要一颗糖。,一,,Quiero azúcar.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
你做的比我好。,比,,Lo estás haciendo mejor que yo.,para comparar; (seguido de un sustantivo y adjetivo) más {adj.} que {sustantivo}; relación; al gesto; (Taiwán pr. [Bi4] en algunos compuestos derivados del chino clásico)
就在这儿停车吧。,在,,Sólo detente aquí.,existir; estar vivo; (de SB o STH) para ser (ubicado) en; (usado antes de un verbo para indicar una acción en progreso)
今晚我将在朋友家过夜。,家,,Pasaré la noche en casa de mi amigo.,"hogar; familia; (educado) mi (hermana, tío, etc.); clasificador para familias o empresas; se refiere a las escuelas filosóficas de Pre-Han China; sufijo sustantivo para un especialista en alguna actividad, como un músico o revolucionario, correspondiente al inglés -ist, -er, -ary o -ian; CL: 個 | 个 [GE4]"
他们拜访了首都。,了,,Visitaron la capital.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
数到三十。,到,,Cuenta hasta 30.,alcanzar; llegar; para irse por; para ir; a (un lugar); hasta (una hora); hasta cierto punto); (complemento verbal que indica llegar a un lugar o alcanzar un punto); considerado; considerado; exhaustivo
永恆持續最久。,最,,Dura más tiempo.,mayoría; el más; -est (sufijo superlativo)
我点了青蛙加面条。,面,,Pedí ranas con fideos.,"rostro; lado; superficie; aspecto; arriba; Clasificador para objetos con superficies planas como tambores, espejos, banderas, etc."
許多貧困的學生得到獎學金。,生,,Muchos estudiantes pobres reciben becas.,nacer; dar a luz; vida; crecer; crudo; crudo; alumno
她把小毕卡思的绘画放在画间的墙上。,在,,Puso su pintura en la pared del dibujo.,existir; estar vivo; (de SB o STH) para ser (ubicado) en; (usado antes de un verbo para indicar una acción en progreso)
她似乎不是美國人。,是,,No parece americana.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
他打算提前回國。,提,,Tiene la intención de volver temprano.,para llevar (colgando de la mano); levantar; para presentarse; mencionar; para plantear (un problema); SUPERIOR DE CARÁCTER CARRADO; Levantando el trazo de pincel (en pintura); SCOOP para medir líquido
问题是：谁代替他去？,是,,La pregunta es: ¿Quién tomará su lugar?,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
我想知道这个冬天在我们的城市会不会下雪。,道,,Me pregunto si nevará en nuestra ciudad este invierno.,"camino; ruta (cl: 條 | 条 [tiao2], 股 [gu3]); (forma unida) forma; razón; principio; (forma unida) una habilidad; un arte; una especialización; (Taoísmo) el camino; el dao; decir (introducir una cita directa, como en una novela); (forma unida) para expresar; extender (palabras educadas); Clasificador para cosas largas y delgadas (ríos, grietas, etc.), barreras (paredes, puertas, etc.), preguntas (en un examen, etc.), comandos, cursos en una comida, pase en un proceso; (antiguo) Circuito (división administrativa)"
湯姆有點蒼白,有,,Tom está un poco pálido.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
这是日本最深的湖。,日,,Este es el lago más profundo de Japón.,"sol; día; Fecha, día del mes"
你发现这两张照片的区别了吗？,片,,¿Viste la diferencia entre estas dos fotos?,"pieza delgada; escama; una porción; película; Juego de televisión; para cortar; para tallar; parcial; incompleto; unilateral; clasificador para rodajas, tabletas, tracto de tierra, área de agua; clasificador para CD, películas, DVD, etc. Usado con numeral 一 [yi1]: clasificador para escenario, escena, sentimiento, atmósfera, sonido, etc. Kangxi Radical 91"
鹿是简的三倍重。,是,,El ciervo es tres veces el peso de Jane.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
我试着解决问题，但我解决不了。,但,,"Traté de resolver el problema, pero no pude.",pero; todavía; sin embargo; aún; meramente; solo; justo
昨天的会议怎么样？,么,,¿Qué tal la reunión de ayer?,"más joven; la mayoría de los junior; diminuto; una (forma hablada inequívoca al explicar números, especialmente por teléfono o en militares); uno o as en dados o dominó; variante de 吆 [yao1], gritar"
今晚可以住你家嗎？,家,,¿Puedo quedarme en tu casa esta noche?,"hogar; familia; (educado) mi (hermana, tío, etc.); clasificador para familias o empresas; se refiere a las escuelas filosóficas de Pre-Han China; sufijo sustantivo para un especialista en alguna actividad, como un músico o revolucionario, correspondiente al inglés -ist, -er, -ary o -ian; CL: 個 | 个 [GE4]"
你的后门是开着的。,后,,Tu puerta trasera estaba abierta.,emperatriz; reina; (arcaico) monarca; gobernante
年纪大的上海人很多讲上海话的。,年,,Muchos de los Shanghaiers más viejos hablan Shanghái.,año; CL: 個 | 个 [GE4]
汤姆看起来一点也不开心。,看,,Tom no se ve feliz en absoluto.,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
我非常想见她,常,,Realmente me gustaría verla.,siempre; alguna vez; a menudo; frecuentemente; común; general; constante
当您登记美国大学时，您考TOEFL获得的分数只是所选因素的其中一个。,中,,"Cuando te registras en una universidad estadounidense, la puntuación que obtienes de TOEFL es sólo uno de los factores seleccionados.","para golpear (la marca); ser golpeado por; sufrir; para ganar (un premio, una lotería)"
他梦想着成为一名英雄。,一,,Soñaba con convertirse en un héroe.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
有一個危險的罪犯從監獄裡逃了出來。,有,,Un peligroso criminal escapó de prisión.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
我太愚蠢了...我竟然试着给你解释我自己都不懂的东西。,了,,Soy tan estúpido... y estoy tratando de explicarte algo que ni siquiera sé.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
這裏晚上很靜。,上,,Está tranquilo aquí por la noche.,(forma unida) arriba; superior; arriba; anterior; primero (de múltiples partes); para escalar; para entrar; subir; asistir (clase o universidad); (complemento direccional) arriba; (sustantivo sufijo) encendido; arriba
这些照片总是让我想起昔日时光。,片,,Estas fotos siempre me recuerdan a los viejos tiempos.,"pieza delgada; escama; una porción; película; Juego de televisión; para cortar; para tallar; parcial; incompleto; unilateral; clasificador para rodajas, tabletas, tracto de tierra, área de agua; clasificador para CD, películas, DVD, etc. Usado con numeral 一 [yi1]: clasificador para escenario, escena, sentimiento, atmósfera, sonido, etc. Kangxi Radical 91"
领主对他的臣民有绝对权力。,有,,El Señor tiene autoridad absoluta sobre sus súbditos.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
我一直讀這個讀了幾個小時。,一,,He estado leyendo esto durante horas.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
她們都是大學生。,生,,Todos son estudiantes universitarios.,nacer; dar a luz; vida; crecer; crudo; crudo; alumno
这就是我出生长大的房子。,生,,Esa es la casa en la que crecí.,nacer; dar a luz; vida; crecer; crudo; crudo; alumno
多久以前？,前,,¿Hace cuánto tiempo?,"frente; adelante; adelante; primero; arriba (seguido de un número); futuro; atrás; antes; BC (por ejemplo, 前 293年); anterior; antes"
这些鞋子太紧了，伤脚。,了,,"Estos zapatos están muy apretados, se lastiman los pies.","para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
那我呢?,那,,¿Qué hay de mí?,(arcaico) muchos; hermoso; cómo; Vieja variante de 挪 [NUO2]
她的英语掌握得很熟练。,掌,,Tiene un buen dominio del inglés.,palma de la mano; suela del pie; pata; herradura; para abofetear; para sostenerse en la mano; para manejar
這本字典是誰的？,字,,¿De quién es este diccionario?,carta; símbolo; personaje; palabra; CL: 個 | 个 [GE4]; Cortesía o nombre de estilo tradicionalmente dado a hombres de 20 años en China Dynastic
看到了吧？你应该学一门外语。,看,,Deberías aprender un idioma extranjero.,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
我們需要更多。,要,,Necesitamos más.,querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante
我给她买了辆新车。,新,,Le compré un coche nuevo.,nuevo; recién; meso- (química)
我希望我能像他一樣。,一,,Ojalá pudiera ser como él.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
其實現時的方法還有很大的改善空間。,有,,"De hecho, todavía hay mucho margen para mejorar la forma en que se hacen las cosas.",tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
汤姆在吗？,在,,¿Está Tom aquí?,existir; estar vivo; (de SB o STH) para ser (ubicado) en; (usado antes de un verbo para indicar una acción en progreso)
他在那张桌子那里。,里,,Está allí en esa mesa.,"li, medida antigua de longitud, aprox. 500 m; vecindario; Antigua unidad administrativa de 25 familias; (TW) Borough, Unidad Administrativa entre el municipio 鎮 | 镇 [Zhen4] y el vecindario 鄰 | 邻 [Lin2] Niveles"
你說太多了。,多,,Hablas demasiado.,muchos; mucho; más; mucho; demasiado; en exceso; (después de un número) ... impar; cómo (en qué medida) (Taiwán pr. [duo2]); (forma unida) múltiple; escuela politécnica-
你自投羅網了。,了,,Ahora estás por tu cuenta.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
他失去了平衡，从梯子上摔了下来。,了,,Perdió el equilibrio y se cayó de la escalera.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
我们一有回复就会给你打电话的。,有,,Te llamaremos en cuanto volvamos.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
这是一部五幕歌剧。,一,,Es una ópera de cinco etapas.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
警察会追捕她很长时间。,追,,La policía la perseguirá por mucho tiempo.,perseguir; perseguir; para mirar; investigar; recordar; recordar; a la corte (amado); para ver en exceso (un drama de televisión); retroactivamente; después de la muerte
事实上，这个项目需要大家。,目,,"De hecho, este proyecto los necesita a todos ustedes.",ojo; (literario) para mirar; considerar; ojo (de una red); malla; tamaño de malla; tamaño de arena (abbr. para 目數 | 目数 [mu4 shu4]); artículo; sección; lista; catalogar; (Taxonomía) orden; nombre; título
你看起來很高興。,看,,Te ves feliz.,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
你今天看西语了吗？,看,,¿Leíste español hoy?,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
我感觉有些轻飘飘了。,有,,Me siento un poco más ligero.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
請把奶油遞給我。,油,,"Pásame la crema, por favor.","aceite; gordo; grasa; petróleo; para aplicar aceite tung, pintura o barniz; aceitoso; grasiento; fácil; astuto"
最近的图书馆在哪里？,最,,¿Dónde está la biblioteca más cercana?,mayoría; el más; -est (sufijo superlativo)
我父亲是一名外科专家。,一,,Mi padre era cirujano.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
汤姆把伞落在了巴士上。,巴,,Tom dejó su paraguas en el autobús.,"anhelar; desear; a aferrarse a; apegarse; Sth que se pega; cerca de; junto a; extendido abierto; ABBR informal. para bus 巴士 [BA1 shi4]; barra (unidad de presión); nominalización del sufijo en ciertos sustantivos, como 尾巴 [wei3 Ba5], cola"
電話響了好幾次。,了,,El teléfono sonó varias veces.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
他说话太快了。,了,,Está hablando demasiado rápido.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
我累得不能再累了。,不能,,Ya no puedo cansarme.,no puedo; no debe; no debería
我需要医生。,生,,Necesito un médico.,nacer; dar a luz; vida; crecer; crudo; crudo; alumno
LZH格式的文件怎么解压啊？,文,,¿Cómo deprimo los archivos LZH?,idioma; cultura; escribiendo; formal; literario; amable; (antiguo) clasificador para monedas; Kangxi Radical 67
你有空吗?,有,,¿Tienes un minuto?,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
他说服了他老婆不离婚。,老,,Convenció a su esposa de no divorciarse.,"prefijo utilizado antes del apellido de una persona o un número que indica el orden de nacimiento de los niños en una familia o para indicar afecto o familiaridad; viejo (de la gente); venerable (persona); experimentado; de larga data; siempre; todo el tiempo; del pasado; muy; anticuado; (de carne, etc.) duro"
她是個女人。,是,,Es una mujer.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
非常高興再次見到你。,常,,Me alegro de volver a verte.,siempre; alguna vez; a menudo; frecuentemente; común; general; constante
在这些男孩中，谁是Masao?,中,,"De estos chicos, ¿quién es Masao?","para golpear (la marca); ser golpeado por; sufrir; para ganar (un premio, una lotería)"
他把球扔了。,了,,Tiró la pelota.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
在现今的社会，最难做到的事情就是……做回自己。,最,,"En la sociedad de hoy, lo más difícil de hacer es ser uno mismo de nuevo.",mayoría; el más; -est (sufijo superlativo)
宁波唐时名称明州。,名,,El nombre de Ning Botten es Mingzhou.,"nombre; sustantivo (parte del discurso); lugar (por ejemplo, entre los ganadores); famoso; clasificador para la gente"
只有小說人物才會有一輩子不改變的性格。,性,,Sólo los novelistas tendrán el mismo carácter que nunca cambiarán.,"naturaleza; personaje; propiedad; calidad; atributo; sexualidad; sexo; género; sufijo formando adjetivo del verbo; sufijo formando sustantivo del adjetivo, correspondiente a -ness o -ity; esencia; CL: 個 | 个 [GE4]"
無色的綠色意念憤怒地沉睡著。,地,,La mente verde incolora duerme enojada.,tierra; suelo; campo; lugar; tierra; CL: 片 [Pian4]
这是一条很大的狗。,一,,Es un perro grande.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
薩米不喜歡那個。,喜,,A Sammy no le gusta eso.,ser aficionado a; me gusta; para disfrutar; ser feliz; sentirse complacido; felicidad; deleitar; contento
你可以去任何你想去的地方。,地,,Puedes ir a donde quieras.,tierra; suelo; campo; lugar; tierra; CL: 片 [Pian4]
她为她做了一切事。,一,,Ella hizo todo por ella.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
是綠色。,是,,Es verde.,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
我很喜歡雪。,喜,,Me encanta la nieve.,ser aficionado a; me gusta; para disfrutar; ser feliz; sentirse complacido; felicidad; deleitar; contento
他幾乎從來沒揭開過一本書。,一,,Casi nunca abrió un libro.,"uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito"
卡倫生我的氣。,生,,Karen está enojada conmigo.,nacer; dar a luz; vida; crecer; crudo; crudo; alumno
您学什么？,么,,¿Qué estás estudiando?,"más joven; la mayoría de los junior; diminuto; una (forma hablada inequívoca al explicar números, especialmente por teléfono o en militares); uno o as en dados o dominó; variante de 吆 [yao1], gritar"
英格兰为她的诗人感到自豪。,格,,Inglaterra está orgullosa de su poeta.,cuadrado; marco; regla; Caso (legal); estilo; personaje; estándar; patrón; Caso (gramática); (clásico) para obstruir; obstaculizar; (clásico) para llegar; por venir; (clásico) para investigar; estudiar exhaustivamente
在多年的思索之下，我終於了解人生的意義就是去尋找人生的意義。我們每個人都是獨特的個體。我們每個人都能找到屬於自己的人生目標。,目,,"Después de muchos años de pensar, finalmente aprendí que el significado de la vida es encontrarlo. Cada uno de nosotros es único. Cada uno de nosotros puede encontrar su propia meta.",ojo; (literario) para mirar; considerar; ojo (de una red); malla; tamaño de malla; tamaño de arena (abbr. para 目數 | 目数 [mu4 shu4]); artículo; sección; lista; catalogar; (Taxonomía) orden; nombre; título
这本书在英国印刷。,本,,El libro está impreso en Inglaterra.,"(forma unida) raíz; provenir; (forma unida) origen; fuente; (forma unida) la suya; este; (forma unida) esto; el actual (año etc.); (forma unida) original; (forma unida) inherente; originalmente; inicialmente; capital; principal; clasificador para libros, publicaciones periódicas, archivos, etc."
